FA	inst	type	instrument	year	funding	n	label	monitoring	instrument_fr	label_fr	instrument_en	label_en
Förderung	Förderung für Schweizer Innovationsprojekte	Projekte von Forschenden	BRIDGE Discovery	2021	8.8	16	Projekte	Nein	BRIDGE Discovery	Projets	BRIDGE Discovery	Projects
Förderung	Förderung für Schweizer Innovationsprojekte	Projekte von Forschenden	BRIDGE Discovery	2022	9	16	Projekte	Nein	BRIDGE Discovery	Projets	BRIDGE Discovery	Projects
Förderung	Förderung für Schweizer Innovationsprojekte	Projekte von Forschenden	BRIDGE Discovery	2023	10.8	17	Projekte	Nein	BRIDGE Discovery	Projets	BRIDGE Discovery	Projects
Förderung	Förderung für Schweizer Innovationsprojekte	Projekte von Unternehmen mit Forschenden	Innovationsprojekte mit Umsetzungspartner	2021	170.6	402	Projekte	Ja	Projets d'innovation avec partenaire de mise en œuvre	Projets	Innovation projects with implementation partner	Projects
Förderung	Förderung für Schweizer Innovationsprojekte	Projekte von Unternehmen mit Forschenden	Innovationsprojekte mit Umsetzungspartner	2022	143.8	337	Projekte	Ja	Projets d'innovation avec partenaire de mise en œuvre	Projets	Innovation projects with implementation partner	Projects
Förderung	Förderung für Schweizer Innovationsprojekte	Projekte von Unternehmen mit Forschenden	Innovationsprojekte mit Umsetzungspartner	2023	132.5	307	Projekte	Ja	Projets d'innovation avec partenaire de mise en œuvre	Projets	Innovation projects with implementation partner	Projects
Förderung	Förderung für Schweizer Innovationsprojekte	Projekte von Forschenden	Innovationsprojekte ohne Umsetzungspartner	2021	12.9	39	Projekte	Ja	Projets d'innovation sans partenaire de mise en œuvre	Projets	Innovation projects without implementation partner	Projects
Förderung	Förderung für Schweizer Innovationsprojekte	Projekte von Forschenden	Innovationsprojekte ohne Umsetzungspartner	2022	15.7	38	Projekte	Ja	Projets d'innovation sans partenaire de mise en œuvre	Projets	Innovation projects without implementation partner	Projects
Förderung	Förderung für Schweizer Innovationsprojekte	Projekte von Forschenden	Innovationsprojekte ohne Umsetzungspartner	2023	25.5	60	Projekte	Ja	Projets d'innovation sans partenaire de mise en œuvre	Projets	Innovation projects without implementation partner	Projects
Begleitung von Start-ups	Begleitung von Start-ups	Begleitung von Start-ups	Start-up Coaching	2021	4.3	83	Core Coaching	Ja	Start-up Coaching	Core Coaching	Start-up Coaching	Core Coaching
Begleitung von Start-ups	Begleitung von Start-ups	Begleitung von Start-ups	Start-up Coaching	2022	3.3	57	Core Coaching	Ja	Start-up Coaching	Core Coaching	Start-up Coaching	Core Coaching
Begleitung von Start-ups	Begleitung von Start-ups	Begleitung von Start-ups	Start-up Coaching	2023	5	94	Core Coaching	Ja	Start-up Coaching	Core Coaching	Start-up Coaching	Core Coaching
Starthilfe für Projekte und Vernetzung	Starthilfe für Projekte und Vernetzung	Starthilfe für Projekte und Vernetzung	Innovation Booster	2021	10.6	6	Innovation Booster	Ja	Innovation Booster	Innovation Booster	Innovation Booster	Innovation Booster
Starthilfe für Projekte und Vernetzung	Starthilfe für Projekte und Vernetzung	Starthilfe für Projekte und Vernetzung	Innovation Booster	2021	10.6	6	Innovation Booster	Ja	Innovation Booster	Innovation Booster	Innovation Booster	Innovation Booster
Starthilfe für Projekte und Vernetzung	Starthilfe für Projekte und Vernetzung	Starthilfe für Projekte und Vernetzung	Innovation Booster	2021	10.6	6	Innovation Booster	Ja	Innovation Booster	Innovation Booster	Innovation Booster	Innovation Booster
Starthilfe für Projekte und Vernetzung	Starthilfe für Projekte und Vernetzung	Starthilfe für Projekte und Vernetzung	Innovation Booster	2021	10.6	6	Innovation Booster	Ja	Innovation Booster	Innovation Booster	Innovation Booster	Innovation Booster
Starthilfe für Projekte und Vernetzung	Starthilfe für Projekte und Vernetzung	Starthilfe für Projekte und Vernetzung	Innovation Booster	2022	0	0	Innovation Booster	Ja	Innovation Booster	Innovation Booster	Innovation Booster	Innovation Booster
Starthilfe für Projekte und Vernetzung	Starthilfe für Projekte und Vernetzung	Starthilfe für Projekte und Vernetzung	Innovation Booster	2022	0	0	Innovation Booster	Ja	Innovation Booster	Innovation Booster	Innovation Booster	Innovation Booster
Starthilfe für Projekte und Vernetzung	Starthilfe für Projekte und Vernetzung	Starthilfe für Projekte und Vernetzung	Innovation Booster	2022	0	0	Innovation Booster	Ja	Innovation Booster	Innovation Booster	Innovation Booster	Innovation Booster
Starthilfe für Projekte und Vernetzung	Starthilfe für Projekte und Vernetzung	Starthilfe für Projekte und Vernetzung	Innovation Booster	2022	0	0	Innovation Booster	Ja	Innovation Booster	Innovation Booster	Innovation Booster	Innovation Booster
Starthilfe für Projekte und Vernetzung	Starthilfe für Projekte und Vernetzung	Starthilfe für Projekte und Vernetzung	Innovation Booster	2023	15.3	8	Innovation Booster	Ja	Innovation Booster	Innovation Booster	Innovation Booster	Innovation Booster
Starthilfe für Projekte und Vernetzung	Starthilfe für Projekte und Vernetzung	Starthilfe für Projekte und Vernetzung	Innovation Booster	2023	15.3	8	Innovation Booster	Ja	Innovation Booster	Innovation Booster	Innovation Booster	Innovation Booster
Starthilfe für Projekte und Vernetzung	Starthilfe für Projekte und Vernetzung	Starthilfe für Projekte und Vernetzung	Innovation Booster	2023	15.3	8	Innovation Booster	Ja	Innovation Booster	Innovation Booster	Innovation Booster	Innovation Booster
Starthilfe für Projekte und Vernetzung	Starthilfe für Projekte und Vernetzung	Starthilfe für Projekte und Vernetzung	Innovation Booster	2023	15.3	8	Innovation Booster	Ja	Innovation Booster	Innovation Booster	Innovation Booster	Innovation Booster
Förderung	Förderung für Schweizer Innovationsprojekte	Projekte von Unternehmen mit Forschenden	Innovationsscheck	2021	8.6	578	Innovationsschecks	Ja	Chèque d'innovation	Chèques d'innovation	Innovation cheque	Innovation cheques
Förderung	Förderung für Schweizer Innovationsprojekte	Projekte von Unternehmen mit Forschenden	Innovationsscheck	2022	7.4	496	Innovationsschecks	Ja	Chèque d'innovation	Chèques d'innovation	Innovation cheque	Innovation cheques
Förderung	Förderung für Schweizer Innovationsprojekte	Projekte von Unternehmen mit Forschenden	Innovationsscheck	2023	8.5	569	Innovationsschecks	Ja	Chèque d'innovation	Chèques d'innovation	Innovation cheque	Innovation cheques
Förderung	Förderung für Schweizer Innovationsprojekte	Projekte von Forschenden	BRIDGE Proof of Concept	2021	1.8	28	Forschende	Ja	BRIDGE Proof of Concept	Chercheurs	BRIDGE Proof of Concept	Researchers
Förderung	Förderung für Schweizer Innovationsprojekte	Projekte von Forschenden	BRIDGE Proof of Concept	2022	2.6	41	Forschende	Ja	BRIDGE Proof of Concept	Chercheurs	BRIDGE Proof of Concept	Researchers
Förderung	Förderung für Schweizer Innovationsprojekte	Projekte von Forschenden	BRIDGE Proof of Concept	2023	3.3	52	Forschende	Ja	BRIDGE Proof of Concept	Chercheurs	BRIDGE Proof of Concept	Researchers
Starthilfe für Projekte und Vernetzung	Starthilfe für Projekte und Vernetzung	Starthilfe für Projekte und Vernetzung	Enterprise Europe Network (EEN)	2021	0.9			Nein	Aide au démarrage de projets et mise en réseau	Enterprise Europe Network (EEN)	Project set-up assistance and networking	Enterprise Europe Network (EEN)
Starthilfe für Projekte und Vernetzung	Starthilfe für Projekte und Vernetzung	Starthilfe für Projekte und Vernetzung	Enterprise Europe Network (EEN)	2022	0.9			Nein	Aide au démarrage de projets et mise en réseau	Enterprise Europe Network (EEN)	Project set-up assistance and networking	Enterprise Europe Network (EEN)
Starthilfe für Projekte und Vernetzung	Starthilfe für Projekte und Vernetzung	Starthilfe für Projekte und Vernetzung	Enterprise Europe Network (EEN)	2023	0.9			Nein	Aide au démarrage de projets et mise en réseau	Enterprise Europe Network (EEN)	Project set-up assistance and networking	Enterprise Europe Network (EEN)
Förderung	Förderung für Schweizer Innovationsprojekte	Projekte von Unternehmen mit Forschenden	Flagship Initiative	2021	57			Nein	Initiative Flagship		Flagship Initiative	
Förderung	Förderung für Schweizer Innovationsprojekte	Projekte von Unternehmen mit Forschenden	Flagship Initiative	2022	0			Nein	Initiative Flagship		Flagship Initiative	
Förderung	Förderung für Schweizer Innovationsprojekte	Projekte von Unternehmen mit Forschenden	Flagship Initiative	2023	40.8			Nein	Initiative Flagship		Flagship Initiative	
