type_de	type_fr	type_en	pct	inst	question	instrument	relevance	highlight	label_de	label_fr	label_en	caption_de	caption_fr	caption_en
Beschäftigung KMU	Emploi PME	Employment SME	33	Förderung für Schweizer Innovationsprojekte	Ergebnisse	Innovationsprojekte mit UP		false	Unternehmen, die über direkte positive Effekte der Innovationsförderung berichten, Anteil in %	Entreprises qui font état d'effets positifs directs de la promotion de l'innovation, part en %.	Companies reporting direct positive effects of innovation funding, share in %	Einschätzungen der Fördernehmer auf einer 6-er Skalenbewertung und vorgegebener Definition: (4) eher hoher Beitrag, (5) hoher Beitrag, (6) sehr hoher Beitrag.		
Umsatz KMU	Chiffre d'affaires des PME	Turnover SME	30	Förderung für Schweizer Innovationsprojekte	Ergebnisse	Innovationsprojekte mit UP		false	Unternehmen, die über direkte positive Effekte der Innovationsförderung berichten, Anteil in %	Entreprises qui font état d'effets positifs directs de la promotion de l'innovation, part en %.	Companies reporting direct positive effects of innovation funding, share in %			
F&E Ausgaben KMU	Dépenses de R&D PME	R&D expenditure SME	28	Förderung für Schweizer Innovationsprojekte	Ergebnisse	Innovationsprojekte mit UP		false	Unternehmen, die über direkte positive Effekte der Innovationsförderung berichten, Anteil in %	Entreprises qui font état d'effets positifs directs de la promotion de l'innovation, part en %.	Companies reporting direct positive effects of innovation funding, share in %			
F&E-Beschäftigung KMU	Emploi en R&D PME	R&D employment SME	27	Förderung für Schweizer Innovationsprojekte	Ergebnisse	Innovationsprojekte mit UP		false	Unternehmen, die über direkte positive Effekte der Innovationsförderung berichten, Anteil in %	Entreprises qui font état d'effets positifs directs de la promotion de l'innovation, part en %.	Companies reporting direct positive effects of innovation funding, share in %			
Produktivität Unternehmen	Productivité de l'entreprise	Company productivity	26	Förderung für Schweizer Innovationsprojekte	Ergebnisse	Innovationsprojekte mit UP		false	Unternehmen, die über direkte positive Effekte der Innovationsförderung berichten, Anteil in %	Entreprises qui font état d'effets positifs directs de la promotion de l'innovation, part en %.	Companies reporting direct positive effects of innovation funding, share in %			
Kosteneinsparungen Unternehmen	Économies de coûts de l'entreprise	Company cost savings	12	Förderung für Schweizer Innovationsprojekte	Ergebnisse	Innovationsprojekte mit UP		false	Unternehmen, die über direkte positive Effekte der Innovationsförderung berichten, Anteil in %	Entreprises qui font état d'effets positifs directs de la promotion de l'innovation, part en %.	Companies reporting direct positive effects of innovation funding, share in %			
Insgesamt	Total	Overall	63	Förderung für Schweizer Innovationsprojekte	Ergebnisse	Innovationsprojekte mit UP		true	Unternehmen, die über direkte positive Effekte der Innovationsförderung berichten, Anteil in %	Entreprises qui font état d'effets positifs directs de la promotion de l'innovation, part en %.	Companies reporting direct positive effects of innovation funding, share in %			
Eingabe bei anderem Förderangebot der Innosuisse vorbereitet	Préparation d'une demande auprès d'un autre instrument d'Innosuisse	Submission to another Innosuisse innovation funding instrument prepared	32	Förderung für Schweizer Innovationsprojekte	Ergebnisse	Innovationsscheck	34	false	KMU, die über erreichte / vollständig erreichte Ergebnisse berichten, Anteil in %	PME rapportant des résultats atteints / entièrement atteints, part en %	SMEs reporting achieved/fully achieved results, share in %			
Innovationsidee weiterentwickelt / getestet	Idée d'innovation développée / testée	Innovation idea further developed/tested	63	Förderung für Schweizer Innovationsprojekte	Ergebnisse	Innovationsscheck	92	false	KMU, die über erreichte / vollständig erreichte Ergebnisse berichten, Anteil in %	PME rapportant des résultats atteints / entièrement atteints, part en %	SMEs reporting achieved/fully achieved results, share in %			
Konkrete und nutzbare Ergebnisse erzielt	Résultats concrets et utilisables obtenus	Concrete and usable results achieved	42	Förderung für Schweizer Innovationsprojekte	Ergebnisse	Innovationsscheck	93	false	KMU, die über erreichte / vollständig erreichte Ergebnisse berichten, Anteil in %	PME rapportant des résultats atteints / entièrement atteints, part en %	SMEs reporting achieved/fully achieved results, share in %			
Zusammenarbeit mit einem Forschungspartner geprüft	Collaboration avec un partenaire de recherche étudiée	Cooperation with a research partner considered	84	Förderung für Schweizer Innovationsprojekte	Ergebnisse	Innovationsscheck	91	false	KMU, die über erreichte / vollständig erreichte Ergebnisse berichten, Anteil in %	PME rapportant des résultats atteints / entièrement atteints, part en %	SMEs reporting achieved/fully achieved results, share in %			
Innovationsprojekt bei Innosuisse vorbereitet	Projet d'innovation préparé auprès d'Innosuisse	Innovation project prepared at Innosuisse	53	Förderung für Schweizer Innovationsprojekte	Ergebnisse	Innovationsscheck	66	false	KMU, die über erreichte / vollständig erreichte Ergebnisse berichten, Anteil in %	PME rapportant des résultats atteints / entièrement atteints, part en %	SMEs reporting achieved/fully achieved results, share in %			
Machbarkeit erfolgreich geprüft	Faisabilité vérifiée avec succès	Feasibility successfully tested	80	Förderung für Schweizer Innovationsprojekte	Ergebnisse	Innovationsprojekte ohne UP		false	Forschende, die über erreichte / vollständig erreichte Ergebnisse berichten, Anteil in %	Chercheurs rapportant des résultats atteints / entièrement atteints, part en %	Researchers reporting achieved/fully achieved results, share in %			
Projekt wird mit hoher / sehr hoher Wahrscheinlichkeit auf dem Markt umgesetzt	Le projet a une forte / très forte probabilité d'être mis en œuvre sur le marché	Project is very/highly likely to be implemented on the market	50	Förderung für Schweizer Innovationsprojekte	Ergebnisse	Innovationsprojekte ohne UP		false	Forschende, die über erreichte / vollständig erreichte Ergebnisse berichten, Anteil in %	Chercheurs rapportant des résultats atteints / entièrement atteints, part en %	Researchers reporting achieved/fully achieved results, share in %			
Schlüssige Ergebnisse für die Umsetzung erzielt 	Résultats concluants obtenus pour la mise en œuvre 	Coherent results for implementation achieved 	48	Förderung für Schweizer Innovationsprojekte	Ergebnisse	Innovationsprojekte ohne UP		false	Forschende, die über erreichte / vollständig erreichte Ergebnisse berichten, Anteil in %	Chercheurs rapportant des résultats atteints / entièrement atteints, part en %	Researchers reporting achieved/fully achieved results, share in %			
Entwicklung des Geschäftsmodells	Développement du modèle d'entreprise	Development of the business model	81	Begleitung von Start-ups	Zufriedenheit mit Coaching	Start-up Core Coaching	94	false	Start-ups, die den Beitrag des Core Coaching als massgeblich beurteilen, Anteil in %	Start-ups qui jugent la contribution du Core Coaching déterminante, part en %.	Start-ups judging the contribution of Core Coaching to be significant, share in %	Einschätzungen der Start-ups anhand einer sechsstufigen Bewertungsskala mit den vorgegebenen Definitionen: (4) eher unterstützend, (5) unterstützend und (6) sehr unterstützend.	Appréciations des start-ups sur la base d'une échelle d'évaluation à six niveaux avec les définitions données : (4) plutôt favorable, (5) favorable et (6) très favorable.	Estimates of the start-ups based on a six-point rating scale with the given definitions: (4) somewhat supportive, (5) supportive and (6) very supportive.
