inst	instrument_de	instrument_fr	instrument_en	respondant_de	respondant_en	respondant_fr	type_de	type_fr	type_en	pct	plot	label_de	label_fr	label_en
Förderung für Schweizer Innovationsprojekte	Innovationsprojekte mit Umsetzungspartner	Projets d'innovation avec PdM	Innovation projects with IP	Unternehmen	companies	entreprises	Digitale Geschäftsmodelle	modèles d'entreprise numériques	digital business models	37	digital	Anteil der Innovationsvorhaben, die auf neuen digitalen Technologien oder Geschäftsmodellen basieren in %	Part des projets d'innovation basés sur de nouvelles technologies numériques ou de nouveaux modèles d'entreprise, en %.	Share of innovation projects based on new digital technologies or business models in %
Förderung für Schweizer Innovationsprojekte	Innovationsprojekte mit Umsetzungspartner	Projets d'innovation avec PdM	Innovation projects with IP	Forschende	researchers	chercheurs	Digitale Geschäftsmodelle	modèles d'entreprise numériques	digital business models	36	digital	Anteil der Innovationsvorhaben, die auf neuen digitalen Technologien oder Geschäftsmodellen basieren in %	Part des projets d'innovation basés sur de nouvelles technologies numériques ou de nouveaux modèles d'entreprise, en %.	Share of innovation projects based on new digital technologies or business models in %
Förderung für Schweizer Innovationsprojekte	Innovationsprojekte ohne Umsetzungspartner	Projets d'innovation sans PdM	Innovation projects without IP	Forschende	researchers	chercheurs	Digitale Geschäftsmodelle	modèles d'entreprise numériques	digital business models	27	digital	Anteil der Innovationsvorhaben, die auf neuen digitalen Technologien oder Geschäftsmodellen basieren in %	Part des projets d'innovation basés sur de nouvelles technologies numériques ou de nouveaux modèles d'entreprise, en %.	Share of innovation projects based on new digital technologies or business models in %
Förderung für Schweizer Innovationsprojekte	Innovationsscheck	Chèque d'innovation	Innovation cheque	KMU	SME	PME	Digitale Geschäftsmodelle	modèles d'entreprise numériques	digital business models	32	digital	Anteil der Innovationsvorhaben, die auf neuen digitalen Technologien oder Geschäftsmodellen basieren in %	Part des projets d'innovation basés sur de nouvelles technologies numériques ou de nouveaux modèles d'entreprise, en %.	Share of innovation projects based on new digital technologies or business models in %
Förderung für Schweizer Innovationsprojekte	Innovationsscheck	Chèque d'innovation	Innovation cheque	KMU	SME	PME	Digitale Geschäftsmodelle	modèles d'entreprise numériques	digital business models	32	digital	Anteil der Innovationsvorhaben, die auf neuen digitalen Technologien oder Geschäftsmodellen basieren in %	Part des projets d'innovation basés sur de nouvelles technologies numériques ou de nouveaux modèles d'entreprise, en %.	Share of innovation projects based on new digital technologies or business models in %
Begleitung von Start-ups	Start-up Core Coaching	Start-up Core Coaching	Start-up Core Coaching	Start-up	start-up	start-up	Digitale Geschäftsmodelle	modèles d'entreprise numériques	digital business models	48	digital	Anteil der Innovationsvorhaben, die auf neuen digitalen Technologien oder Geschäftsmodellen basieren in %	Part des projets d'innovation basés sur de nouvelles technologies numériques ou de nouveaux modèles d'entreprise, en %.	Share of innovation projects based on new digital technologies or business models in %
Förderung für Schweizer Innovationsprojekte	Innovationsprojekte mit Umsetzungspartner	Projets d'innovation avec PdM	Innovation projects with IP	Unternehmen	companies	entreprises	Digitale Technologien	technologies numériques	digital technologies	51	digital	Anteil der Innovationsvorhaben, die auf neuen digitalen Technologien oder Geschäftsmodellen basieren in %	Part des projets d'innovation basés sur de nouvelles technologies numériques ou de nouveaux modèles d'entreprise, en %.	Share of innovation projects based on new digital technologies or business models in %
Förderung für Schweizer Innovationsprojekte	Innovationsprojekte mit Umsetzungspartner	Projets d'innovation avec PdM	Innovation projects with IP	Forschende	researchers	chercheurs	Digitale Technologien	technologies numériques	digital technologies	50	digital	Anteil der Innovationsvorhaben, die auf neuen digitalen Technologien oder Geschäftsmodellen basieren in %	Part des projets d'innovation basés sur de nouvelles technologies numériques ou de nouveaux modèles d'entreprise, en %.	Share of innovation projects based on new digital technologies or business models in %
Förderung für Schweizer Innovationsprojekte	Innovationsprojekte ohne Umsetzungspartner	Projets d'innovation sans PdM	Innovation projects without IP	Forschende	researchers	chercheurs	Digitale Technologien	technologies numériques	digital technologies	39	digital	Anteil der Innovationsvorhaben, die auf neuen digitalen Technologien oder Geschäftsmodellen basieren in %	Part des projets d'innovation basés sur de nouvelles technologies numériques ou de nouveaux modèles d'entreprise, en %.	Share of innovation projects based on new digital technologies or business models in %
Förderung für Schweizer Innovationsprojekte	Innovationsscheck	Chèque d'innovation	Innovation cheque	KMU	SME	PME	Digitale Technologien	technologies numériques	digital technologies	44	digital	Anteil der Innovationsvorhaben, die auf neuen digitalen Technologien oder Geschäftsmodellen basieren in %	Part des projets d'innovation basés sur de nouvelles technologies numériques ou de nouveaux modèles d'entreprise, en %.	Share of innovation projects based on new digital technologies or business models in %
