type	year_text	ptest	stderror	year	lower_99	upper_99	lower_95	upper_95
employment	t-12	-0.004	0.084	-12	-0.22	0.212	-0.169	0.161
employment	t-10	0.101	0.074	-10	-0.09	0.292	-0.044	0.246
employment	t-8	0.046	0.057	-8	-0.101	0.193	-0.066	0.158
employment	t-6	0.035	0.041	-6	-0.071	0.141	-0.045	0.115
employment	t-4	0.009	0.021	-4	-0.045	0.063	-0.032	0.05
employment	t	0.078	0.02	0	0.026	0.13	0.039	0.117
employment	t+2	0.172	0.062	2	0.012	0.332	0.05	0.294
employment	t+4	0.279	0.108	4	0.001	0.557	0.067	0.491
sales	t-12	-0.166	0.178	-12	-0.625	0.293	-0.515	0.183
sales	t-10	-0.046	0.112	-10	-0.335	0.243	-0.266	0.174
sales	t-8	-0.018	0.079	-8	-0.222	0.186	-0.173	0.137
sales	t-6	-0.048	0.062	-6	-0.208	0.112	-0.17	0.074
sales	t-4	-0.018	0.038	-4	-0.116	0.08	-0.092	0.056
sales	t	0.045	0.044	0	-0.068	0.158	-0.041	0.131
sales	t+2	0.156	0.066	2	-0.014	0.326	0.027	0.285
sales	t+4	0.419	0.154	4	0.022	0.816	0.117	0.721
