title	pct	text_de	text_fr	text_en	inst	dy_text	negative	opposites	rank
br_spinoffs	72	der Proof of Concept haben Start-ups oder Spin-offs gegründet (Förderperiode 2017–2021).	des projets BRIDGE Proof of Concept ont donné naissance à des start-ups ou des spin-offs (période de financement 2017–2021).	of Proof of Concept projects have founded start-ups or spin-offs (funding period 2017-2021).	Förderung für Schweizer Innovationsprojekte	0	false	false	pct1
ib_capabilities	82	der Beteiligten konnten ihre Fähigkeiten und Kompetenzen für die Entwicklung und das Testen radikaler Innovationsideen erhöhen.	des participants ont pu améliorer leurs capacités et leurs compétences pour développer et tester des idées d'innovation radicales.	of participants were able to increase their skills and competencies for developing and testing radical innovation ideas.	Starthilfe für Projekte und Vernetzung	-85	false	false	pct1
ib_continued	51	der unterstützten Innovationsideen werden nach der Förderung durch Innovation Booster weitergeführt.	des idées innovantes financées sont poursuivies après l'encouragement par Innovation Booster.	of the innovation ideas supported are continued after the funding from Innovation Booster.	Starthilfe für Projekte und Vernetzung	0	false	false	pct1
ip_disruptive	29	der Unternehmen verfolgen disruptive Innovationen.	des entreprises poursuivent des innovations disruptives.	of companies pursue disruptive innovations.	Förderung für Schweizer Innovationsprojekte	0	false	false	pct1
ip_impuls	73	der geförderten Projektideen stammen vom Unternehmen oder sind gemeinsam mit den Forschenden entwickelt worden.	des idées de projets financés proviennent de l'entreprise ou ont été développées conjointement avec les chercheurs.	of the funded project ideas come from the company or have been developed together with the researchers.	Förderung für Schweizer Innovationsprojekte	-100	false	false	pct1
ip_impuls	35	35 % stammen ausschiesslich vom Unternehmen.	35 % proviennent exclusivement de l'entreprise.	35% come exclusively from the company.	Förderung für Schweizer Innovationsprojekte		false	false	pct2
ip_inter_trans	57	der geförderten Projekte sind interdisziplinär.	des projets financés sont interdisciplinaires.	of the funded projects are interdisciplinary.	Förderung für Schweizer Innovationsprojekte	-60	false	false	pct1
ip_inter_trans	8	8 % der Projekte sind transdisziplinär.	8 % des projets sont transdisciplinaires.	8 % of the projects are transdisciplinary.	Förderung für Schweizer Innovationsprojekte	0	false	false	pct2
ip_mitnahme	19	der Unternehmen hätten das Projekt in etwas geringerem Umfang durchgeführt.	des entreprises auraient réalisé le projet à une échelle moindre.	of companies would have carried out the project on a slightly smaller scale.	Förderung für Schweizer Innovationsprojekte	0	true	false	pct1
ip_mitnahme	5	5 % der Unternehmen hätten das Projekt in derselben Form durchgeführt.	5 % des entreprises auraient réalisé le projet sous la même forme.	5% of companies would have carried out the project in the same way.	Förderung für Schweizer Innovationsprojekte	10	true	false	pct2
ip_new_to_market	33	der Unternehmen entwickeln eine Neuheit für internationale Märkte.	des entreprises développent une nouveauté pour les marchés internationaux.	of companies develop a novelty for international markets.	Förderung für Schweizer Innovationsprojekte	0	false	false	pct1
ip_peer_pub	62	der Forschungspartner publizieren ihre Ergebnisse in einer Fachzeitschrift mit Peer-Review.	des partenaires de recherche publient leurs résultats dans une revue spécialisée avec évaluation par les pairs.	of research partners publish their results in a peer-reviewed journal.	Förderung für Schweizer Innovationsprojekte	0	false	false	pct1
ip_peer_pub	19	In 19 % der geförderten Projekte werden Dissertationen geschrieben.	Des thèses sont rédigées dans 19 % des projets financés.	Dissertations are written in 19% of funded projects.	Förderung für Schweizer Innovationsprojekte	0	false	false	pct2
ip_project_goals	56	der Unternehmen erreichen ihre Projektziele vollständig oder übertreffen sie.	des entreprises atteignent entièrement ou dépassent les objectifs de leur projet.	of companies either fully achieve their project goals or exceed them.	Förderung für Schweizer Innovationsprojekte	-70	true	true	pct1
ip_project_goals	5	Nur 5 % erreichen ihre Ziele nicht oder nur ungenügend.	Seules 5 % n'atteignent pas leurs objectifs ou les atteignent de manière insuffisante.	Only 5 % do not achieve their goals or do not achieve them sufficiently	Förderung für Schweizer Innovationsprojekte	0	true	true	pct2
ip_radikal_inkr	27	der Unternehmen verfolgen radikale Innovationen.	des entreprises poursuivent des innovations radicales.	of companies pursue radical innovations.	Förderung für Schweizer Innovationsprojekte	-60	false	true	pct1
ip_radikal_inkr	25	25 % inkrementelle Innovationen.	25 % des innovations incrémentales.	25 % pursue incremental innovations.	Förderung für Schweizer Innovationsprojekte	0	false	true	pct2
ip_researchpartner	46	der Unternehmen arbeiten drei Jahre nach Projektabschluss weiter mit dem Forschungspartner zusammen.	des entreprises continuent à collaborer avec le partenaire de recherche trois ans après la fin du projet.	of companies continue to work with the research partner three years after project completion.	Förderung für Schweizer Innovationsprojekte	-95	false	false	pct1
