category	instrument_de	instrument_fr	instrument_en	inst	respondant_de	respondant_fr	respondant_en	result_type_de	result_type_fr	result_type_en	pct	comment
Zielerreichung	Innovationsprojekte mit Umsetzungspartner	Projets d'innovation avec partenaire de mise en œuvre	Innovation projects with implementation partner	Förderung für Schweizer Innovationsprojekte	Umsetzungspartner	partenaire de mise en œuvre	implementation partner	vollständig erreicht oder übertroffen	complètement atteint ou dépassé	fully achieved or exceeded	56	
Zielerreichung	Innovationsprojekte mit Umsetzungspartner	Projets d'innovation avec partenaire de mise en œuvre	Innovation projects with implementation partner	Förderung für Schweizer Innovationsprojekte	Forschungspartner	partenaire de recherche	research partner	vollständig erreicht oder übertroffen	complètement atteint ou dépassé	fully achieved or exceeded	77	
Zielerreichung	Innovationsscheck	Chèques d'innovation	Innovation cheques	Förderung für Schweizer Innovationsprojekte	Umsetzungspartner	partenaire de mise en œuvre	implementation partner	vollständig erreicht oder übertroffen	complètement atteint ou dépassé	fully achieved or exceeded	68	
Zielerreichung	Innovationsprojekte ohne Umsetzungspartner	Projets d'innovation sans partenaire de mise en œuvre	Innovation projects without implementation partner	Förderung für Schweizer Innovationsprojekte	Forschungspartner	partenaire de recherche	research partner	vollständig erreicht oder übertroffen	complètement atteint ou dépassé	fully achieved or exceeded	58	
Zielerreichung	Innovationsprojekte mit Umsetzungspartner	Projets d'innovation avec partenaire de mise en œuvre	Innovation projects with implementation partner	Förderung für Schweizer Innovationsprojekte	Umsetzungspartner	partenaire de mise en œuvre	implementation partner	eher erreicht	plutôt atteint	rather achieved	29	
Zielerreichung	Innovationsprojekte mit Umsetzungspartner	Projets d'innovation avec partenaire de mise en œuvre	Innovation projects with implementation partner	Förderung für Schweizer Innovationsprojekte	Forschungspartner	partenaire de recherche	research partner	eher erreicht	plutôt atteint	rather achieved	2	
Zielerreichung	Innovationsscheck	Chèques d'innovation	Innovation cheques	Förderung für Schweizer Innovationsprojekte	Umsetzungspartner	partenaire de mise en œuvre	implementation partner	eher erreicht	plutôt atteint	rather achieved	17	
Zielerreichung	Innovationsprojekte mit Umsetzungspartner	Projets d'innovation avec partenaire de mise en œuvre	Innovation projects with implementation partner	Förderung für Schweizer Innovationsprojekte	Umsetzungspartner	partenaire de mise en œuvre	implementation partner	eher nicht erreicht	plutôt pas atteint	rather not achieved	1	
Zielerreichung	Innovationsprojekte mit Umsetzungspartner	Projets d'innovation avec partenaire de mise en œuvre	Innovation projects with implementation partner	Förderung für Schweizer Innovationsprojekte	Forschungspartner	partenaire de recherche	research partner	eher nicht erreicht	plutôt pas atteint	rather not achieved	3	
Zielerreichung	Innovationsscheck	Chèques d'innovation	Innovation cheques	Förderung für Schweizer Innovationsprojekte	Umsetzungspartner	partenaire de mise en œuvre	implementation partner	eher nicht erreicht	plutôt pas atteint	rather not achieved	8	
Zielerreichung	Innovationsprojekte mit Umsetzungspartner	Projets d'innovation avec partenaire de mise en œuvre	Innovation projects with implementation partner	Förderung für Schweizer Innovationsprojekte	Umsetzungspartner	partenaire de mise en œuvre	implementation partner	nicht oder nur in geringem Ausmass erreicht	pas ou peu atteint	not achieved or only achieved to a small extent	5	
Zielerreichung	Innovationsprojekte mit Umsetzungspartner	Projets d'innovation avec partenaire de mise en œuvre	Innovation projects with implementation partner	Förderung für Schweizer Innovationsprojekte	Forschungspartner	partenaire de recherche	research partner	nicht oder nur in geringem Ausmass erreicht	pas ou peu atteint	not achieved or only achieved to a small extent	0	
Zielerreichung	Innovationsscheck	Chèques d'innovation	Innovation cheques	Förderung für Schweizer Innovationsprojekte	Umsetzungspartner	partenaire de mise en œuvre	implementation partner	nicht oder nur in geringem Ausmass erreicht	pas ou peu atteint	not achieved or only achieved to a small extent	7	
Zielerreichung	Innovationsprojekte ohne Umsetzungspartner	Projets d'innovation sans partenaire de mise en œuvre	Innovation projects without implementation partner	Förderung für Schweizer Innovationsprojekte	Forschungspartner	partenaire de recherche	research partner	eher erreicht	plutôt atteint	rather achieved	33	
Zielerreichung	Innovationsprojekte ohne Umsetzungspartner	Projets d'innovation sans partenaire de mise en œuvre	Innovation projects without implementation partner	Förderung für Schweizer Innovationsprojekte	Forschungspartner	partenaire de recherche	research partner	eher nicht erreicht	plutôt pas atteint	rather not achieved	6	
Zielerreichung	Innovationsprojekte ohne Umsetzungspartner	Projets d'innovation sans partenaire de mise en œuvre	Innovation projects without implementation partner	Förderung für Schweizer Innovationsprojekte	Forschungspartner	partenaire de recherche	research partner	nicht oder nur in geringem Ausmass erreicht	pas ou peu atteint	not achieved or only achieved to a small extent	3	
Zielerreichung	Innovation Booster	Innovation Booster	Innovation Booster	Starthilfe für Projekte und Vernetzung	Teilnehmende	participants	participants				null	
Zielerreichung	Start-up Core Coaching	Start-up Core Coaching	Start-up Core Coaching	Begleitung von Start-ups	Start-up	start-up	start-up	vollständig erreicht oder übertroffen	complètement atteint ou dépassé	fully achieved or exceeded	42	
Zielerreichung	Start-up Core Coaching	Start-up Core Coaching	Start-up Core Coaching	Begleitung von Start-ups	Start-up	start-up	start-up	eher erreicht	plutôt atteint	rather achieved	39	
Zielerreichung	Start-up Core Coaching	Start-up Core Coaching	Start-up Core Coaching	Begleitung von Start-ups	Start-up	start-up	start-up	eher nicht erreicht	plutôt pas atteint	rather not achieved	12	
Zielerreichung	Start-up Core Coaching	Start-up Core Coaching	Start-up Core Coaching	Begleitung von Start-ups	Start-up	start-up	start-up	nicht oder nur in geringem Ausmass erreicht	pas ou peu atteint	not achieved or only achieved to a small extent	7	
Zufriedenheit	Innovationsprojekte mit Umsetzungspartner	Projets d'innovation avec partenaire de mise en œuvre	Innovation projects with implementation partner	Förderung für Schweizer Innovationsprojekte	Umsetzungspartner	partenaire de mise en œuvre	implementation partner	zufrieden bis sehr zufrieden	satisfait à très satisfait	satisfied to very satisfied	80	
Zufriedenheit	Innovationsprojekte mit Umsetzungspartner	Projets d'innovation avec partenaire de mise en œuvre	Innovation projects with implementation partner	Förderung für Schweizer Innovationsprojekte	Umsetzungspartner	partenaire de mise en œuvre	implementation partner	eher nicht bis eher zufrieden	plutôt pas satisfait à plutôt satisfait	rather not satisfied to rather satisfied	19	
Zufriedenheit	Innovationsprojekte mit Umsetzungspartner	Projets d'innovation avec partenaire de mise en œuvre	Innovation projects with implementation partner	Förderung für Schweizer Innovationsprojekte	Umsetzungspartner	partenaire de mise en œuvre	implementation partner	überhaupt nicht zufrieden bis nicht zufrieden	pas du tout satisfait à pas satisfait	not at all satisfied to not satisfied	1	
Zufriedenheit	Innovationsprojekte mit Umsetzungspartner	Projets d'innovation avec partenaire de mise en œuvre	Innovation projects with implementation partner	Förderung für Schweizer Innovationsprojekte	Forschungspartner	partenaire de recherche	research partner	zufrieden bis sehr zufrieden	satisfait à très satisfait	satisfied to very satisfied	91	
Zufriedenheit	Innovationsprojekte mit Umsetzungspartner	Projets d'innovation avec partenaire de mise en œuvre	Innovation projects with implementation partner	Förderung für Schweizer Innovationsprojekte	Forschungspartner	partenaire de recherche	research partner	eher nicht bis eher zufrieden	plutôt pas satisfait à plutôt satisfait	rather not satisfied to rather satisfied	8	
Zufriedenheit	Innovationsprojekte mit Umsetzungspartner	Projets d'innovation avec partenaire de mise en œuvre	Innovation projects with implementation partner	Förderung für Schweizer Innovationsprojekte	Forschungspartner	partenaire de recherche	research partner	überhaupt nicht zufrieden bis nicht zufrieden	pas du tout satisfait à pas satisfait	not at all satisfied to not satisfied	1	
Zufriedenheit	Innovationsprojekte ohne Umsetzungspartner	Projets d'innovation sans partenaire de mise en œuvre	Innovation projects without implementation partner	Förderung für Schweizer Innovationsprojekte	Forschungspartner	partenaire de recherche	research partner	zufrieden bis sehr zufrieden	satisfait à très satisfait	satisfied to very satisfied	92	
Zufriedenheit	Innovationsprojekte ohne Umsetzungspartner	Projets d'innovation sans partenaire de mise en œuvre	Innovation projects without implementation partner	Förderung für Schweizer Innovationsprojekte	Forschungspartner	partenaire de recherche	research partner	eher nicht bis eher zufrieden	plutôt pas satisfait à plutôt satisfait	rather not satisfied to rather satisfied	8	
Zufriedenheit	Innovationsprojekte ohne Umsetzungspartner	Projets d'innovation sans partenaire de mise en œuvre	Innovation projects without implementation partner	Förderung für Schweizer Innovationsprojekte	Forschungspartner	partenaire de recherche	research partner	überhaupt nicht zufrieden bis nicht zufrieden	pas du tout satisfait à pas satisfait	not at all satisfied to not satisfied	0	
Zufriedenheit	Innovationsscheck	Chèques d'innovation	Innovation cheques	Förderung für Schweizer Innovationsprojekte	Umsetzungspartner	partenaire de mise en œuvre	implementation partner	zufrieden bis sehr zufrieden	satisfait à très satisfait	satisfied to very satisfied	86	
Zufriedenheit	Innovationsscheck	Chèques d'innovation	Innovation cheques	Förderung für Schweizer Innovationsprojekte	Umsetzungspartner	partenaire de mise en œuvre	implementation partner	eher nicht bis eher zufrieden	plutôt pas satisfait à plutôt satisfait	rather not satisfied to rather satisfied	13	
Zufriedenheit	Innovationsscheck	Chèques d'innovation	Innovation cheques	Förderung für Schweizer Innovationsprojekte	Umsetzungspartner	partenaire de mise en œuvre	implementation partner	überhaupt nicht zufrieden bis nicht zufrieden	pas du tout satisfait à pas satisfait	not at all satisfied to not satisfied	1	
Zufriedenheit	Innovation Booster	Innovation Booster	Innovation Booster	Starthilfe für Projekte und Vernetzung	Teilnehmende	participants	participants	zufrieden bis sehr zufrieden	satisfait à très satisfait	satisfied to very satisfied	89	
Zufriedenheit	Innovation Booster	Innovation Booster	Innovation Booster	Starthilfe für Projekte und Vernetzung	Teilnehmende	participants	participants	eher nicht bis eher zufrieden	plutôt pas satisfait à plutôt satisfait	rather not satisfied to rather satisfied	10	
Zufriedenheit	Innovation Booster	Innovation Booster	Innovation Booster	Starthilfe für Projekte und Vernetzung	Teilnehmende	participants	participants	überhaupt nicht zufrieden bis nicht zufrieden	pas du tout satisfait à pas satisfait	not at all satisfied to not satisfied	1	
Zufriedenheit	Start-up Core Coaching	Start-up Core Coaching	Start-up Core Coaching	Begleitung von Start-ups	Start-up	start-up	start-up	zufrieden bis sehr zufrieden	satisfait à très satisfait	satisfied to very satisfied	68	
Zufriedenheit	Start-up Core Coaching	Start-up Core Coaching	Start-up Core Coaching	Begleitung von Start-ups	Start-up	start-up	start-up	eher nicht bis eher zufrieden	plutôt pas satisfait à plutôt satisfait	rather not satisfied to rather satisfied	31	
Zufriedenheit	Start-up Core Coaching	Start-up Core Coaching	Start-up Core Coaching	Begleitung von Start-ups	Start-up	start-up	start-up	überhaupt nicht zufrieden bis nicht zufrieden	pas du tout satisfait à pas satisfait	not at all satisfied to not satisfied	1	
Erfolg	Innovationsprojekte mit Umsetzungspartner	Projets d'innovation avec partenaire de mise en œuvre	Innovation projects with implementation partner	Förderung für Schweizer Innovationsprojekte	Umsetzungspartner	partenaire de mise en œuvre	implementation partner	hoher oder sehr hoher Erfolg	succès élevé ou très élevé	high or very high success	406666667	Projekt
Erfolg	Innovationsprojekte mit Umsetzungspartner	Projets d'innovation avec partenaire de mise en œuvre	Innovation projects with implementation partner	Förderung für Schweizer Innovationsprojekte	Umsetzungspartner	partenaire de mise en œuvre	implementation partner	eher hoher Erfolg	succès plutôt élevé	rather high success	3	Projekt
Erfolg	Innovationsprojekte mit Umsetzungspartner	Projets d'innovation avec partenaire de mise en œuvre	Innovation projects with implementation partner	Förderung für Schweizer Innovationsprojekte	Umsetzungspartner	partenaire de mise en œuvre	implementation partner	eher geringer Erfolg	succès plutôt faible	rather low success	203333333	Projekt
Erfolg	Innovationsprojekte mit Umsetzungspartner	Projets d'innovation avec partenaire de mise en œuvre	Innovation projects with implementation partner	Förderung für Schweizer Innovationsprojekte	Umsetzungspartner	partenaire de mise en œuvre	implementation partner	kein Erfolg oder geringer Erfolg	pas de succès ou peu de succès	no success or little success	9	Projekt
Erfolg	Innovationsprojekte mit Umsetzungspartner	Projets d'innovation avec partenaire de mise en œuvre	Innovation projects with implementation partner	Förderung für Schweizer Innovationsprojekte	Forschungspartner	partenaire de recherche	research partner	hoher oder sehr hoher Erfolg	succès élevé ou très élevé	high or very high success	73	Projekt
Erfolg	Innovationsprojekte mit Umsetzungspartner	Projets d'innovation avec partenaire de mise en œuvre	Innovation projects with implementation partner	Förderung für Schweizer Innovationsprojekte	Forschungspartner	partenaire de recherche	research partner	eher hoher Erfolg	succès plutôt élevé	rather high success	21	Projekt
Erfolg	Innovationsprojekte mit Umsetzungspartner	Projets d'innovation avec partenaire de mise en œuvre	Innovation projects with implementation partner	Förderung für Schweizer Innovationsprojekte	Forschungspartner	partenaire de recherche	research partner	eher geringer Erfolg	succès plutôt faible	rather low success	6	Projekt
Erfolg	Innovationsprojekte mit Umsetzungspartner	Projets d'innovation avec partenaire de mise en œuvre	Innovation projects with implementation partner	Förderung für Schweizer Innovationsprojekte	Forschungspartner	partenaire de recherche	research partner	kein Erfolg oder geringer Erfolg	pas de succès ou peu de succès	no success or little success	0	Projekt
Erfolg	Innovationsscheck	Chèques d'innovation	Innovation cheques	Förderung für Schweizer Innovationsprojekte	Umsetzungspartner	partenaire de mise en œuvre	implementation partner				null	
Erfolg	Innovationsprojekte ohne Umsetzungspartner	Projets d'innovation sans partenaire de mise en œuvre	Innovation projects without implementation partner	Förderung für Schweizer Innovationsprojekte	Forschungspartner	partenaire de recherche	research partner	hoher oder sehr hoher Erfolg	succès élevé ou très élevé	high or very high success	53	Projekt
Erfolg	Innovationsprojekte ohne Umsetzungspartner	Projets d'innovation sans partenaire de mise en œuvre	Innovation projects without implementation partner	Förderung für Schweizer Innovationsprojekte	Forschungspartner	partenaire de recherche	research partner	eher hoher Erfolg	succès plutôt élevé	rather high success	35	Projekt
Erfolg	Innovationsprojekte ohne Umsetzungspartner	Projets d'innovation sans partenaire de mise en œuvre	Innovation projects without implementation partner	Förderung für Schweizer Innovationsprojekte	Forschungspartner	partenaire de recherche	research partner	eher geringer Erfolg	succès plutôt faible	rather low success	12	Projekt
Erfolg	Innovationsprojekte ohne Umsetzungspartner	Projets d'innovation sans partenaire de mise en œuvre	Innovation projects without implementation partner	Förderung für Schweizer Innovationsprojekte	Forschungspartner	partenaire de recherche	research partner	kein Erfolg oder geringer Erfolg	pas de succès ou peu de succès	no success or little success	0	Projekt
Erfolg	Innovation Booster	Innovation Booster	Innovation Booster	Starthilfe für Projekte und Vernetzung	Teilnehmende	participants	participants				null	
Erfolg	Start-up Core Coaching	Start-up Core Coaching	Start-up Core Coaching	Begleitung von Start-ups	Start-up	start-up	start-up	hoher oder sehr hoher Erfolg	succès élevé ou très élevé	high or very high success	61	Unterstützung
Erfolg	Start-up Core Coaching	Start-up Core Coaching	Start-up Core Coaching	Begleitung von Start-ups	Start-up	start-up	start-up	eher hoher Erfolg	succès plutôt élevé	rather high success	13	Unterstützung
Erfolg	Start-up Core Coaching	Start-up Core Coaching	Start-up Core Coaching	Begleitung von Start-ups	Start-up	start-up	start-up	eher geringer Erfolg	succès plutôt faible	rather low success	17	Unterstützung
Erfolg	Start-up Core Coaching	Start-up Core Coaching	Start-up Core Coaching	Begleitung von Start-ups	Start-up	start-up	start-up	kein Erfolg oder geringer Erfolg	pas de succès ou peu de succès	no success or little success	9	Unterstützung
